Date,Site.Name,COUNTY,SITE_LONGITUDE,SITE_LATITUDE,Year,Month,PM2.5,Ozone
2-10-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,2,10,37.5,24
2-10-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,2,10,47.333333333333336,NA
2-10-20,Leggett,Edgecombe,-77.5843,35.988278,2,10,20.5,34
2-10-20,Linville Falls,Avery,-81.933072,35.972347,2,10,14,NA
2-10-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,2,10,39,NA
2-10-20,Millbrook School,Wake,-78.574167,35.856111,2,10,40,27
2-10-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,2,10,23,NA
2-10-20,West Johnston Co.,Johnston,-78.4622,35.59095,2,10,31.5,NA
2-11-20,,Hyde,-76.2071654064174,35.4510904272765,2,11,7,NA
2-11-20,Bryson City,Swain,-83.442133,35.434767,2,11,25,NA
2-11-20,Castle Hayne,New Hanover,-77.838611,34.364167,2,11,13,21
2-11-20,Clemmons Middle,Forsyth,-80.342,36.026,2,11,19,NA
2-11-20,Durham Armory,Durham,-78.904037,36.0329550008979,2,11,31,24
2-11-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,2,11,3,34
2-11-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,2,11,32.25,19
2-11-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,2,11,32.666666666666664,NA
2-11-20,Leggett,Edgecombe,-77.5843,35.988278,2,11,14,27
2-11-20,Linville Falls,Avery,-81.933072,35.972347,2,11,10,NA
2-11-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,2,11,27,NA
2-11-20,Millbrook School,Wake,-78.574167,35.856111,2,11,36,22
2-11-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,2,11,16,NA
2-11-20,West Johnston Co.,Johnston,-78.4622,35.59095,2,11,25.5,NA
2-12-20,Bryson City,Swain,-83.442133,35.434767,2,12,11.5,NA
2-12-20,Castle Hayne,New Hanover,-77.838611,34.364167,2,12,1,31
2-12-20,Clemmons Middle,Forsyth,-80.342,36.026,2,12,14.5,NA
2-12-20,Durham Armory,Durham,-78.904037,36.0329550008979,2,12,18,22
2-12-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,2,12,NA,45
2-12-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,2,12,10.333333333333334,21
2-12-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,2,12,13.5,NA
2-12-20,Leggett,Edgecombe,-77.5843,35.988278,2,12,8,25
2-12-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,2,12,9,NA
2-12-20,Millbrook School,Wake,-78.574167,35.856111,2,12,24.666666666666668,24.5
2-12-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,2,12,15.333333333333334,NA
2-12-20,West Johnston Co.,Johnston,-78.4622,35.59095,2,12,14.5,NA
3-01-20,,Swain,-83.310242,35.498711,3,1,NA,26.5
3-01-20,Bryson City,Swain,-83.442133,35.434767,3,1,35,30.5
3-01-20,Castle Hayne,New Hanover,-77.838611,34.364167,3,1,16,34
3-01-20,Clemmons Middle,Forsyth,-80.342,36.026,3,1,35.5,31.5
3-01-20,Durham Armory,Durham,-78.904037,36.0329550008979,3,1,36.666666666666664,31
3-01-20,Frying Pan Mountain,Haywood,-82.7925,35.379167,3,1,NA,39
3-01-20,Garinger High School,Mecklenburg,-80.785683,35.2401000008895,3,1,26.5,27.5
3-01-20,Hattie Avenue,Forsyth,-80.2264378,36.110693332,3,1,25,32.5
3-01-20,Leggett,Edgecombe,-77.5843,35.988278,3,1,27.5,29
3-01-20,Linville Falls,Avery,-81.933072,35.972347,3,1,NA,33.5
3-01-20,Mendenhall School,Guilford,-79.802314,36.1090060008986,3,1,26,33.5
3-01-20,Millbrook School,Wake,-78.574167,35.856111,3,1,39.75,30
3-01-20,Pitt Agri. Center,Pitt,-77.360126,35.6412760008938,3,1,27,30
3-01-20,West Johnston Co.,Johnston,-78.4622,35.59095,3,1,35,29.5
3-02-20,,Swain,-83.310242,35.498711,3,2,NA,39
3-02-20,Bryson City,Swain,-83.442133,35.434767,3,2,19.5,37.5
